Movie Title,production_budget_usd,worldwide_gross_usd
Hits,1000000,15156
All Hat,4900000,15198
The Work and the Story,103000,16137
The Dress,2650000,16556
Los insolitos peces gato,1300000,16653
Crying With Laughter,820000,16909
The First Time ,2000000,17061
Speedway Junky,1000000,17127
Nothing But a Man,300000,17241
Molly,21000000,17396
Butterfly Girl,180000,17503
Sonny,4000000,17639
Karachi se Lahore,1000000,17721
The Missing Person,2000000,17896
Test,250000,18823
Akira,8000000,19585
The Open Road,10000000,19716
The Journey,500000,19800
The Dead Girl,3300000,19875
The Past is a Grotesque Animal,100000,20056
A Room for Romeo Brass,5250000,20097
Sticky Fingers of Time,250000,20628
Return of the Living Dead 3,2000000,21000
Safe Men,1000000,21210
Two Lovers and a Bear,6840000,22273
The Last Big Thing,1000000,22434
The Good Night,15000000,22441
Poultrygeist: Night of the Chicken Dead,450000,22623
All the Queen's Men,15000000,22723
Arnolds Park,600000,23616
R100,5500000,24956
The Exploding Girl,40000,25572
Griff the Invisible,2900000,25935
Lake of Fire,6000000,26007
"Pink Ribbons, Inc.",1200000,26608
Special,1000000,26822
Departure,1100000,27561
Salvation Boulevard,5500000,28468
Plush,2000000,28864
Automata,15000000,29050
Time to Choose,3500000,29233
Redemption Road,2300000,29384
Lumea e a mea,168000,29827
Happy Christmas,70000,30312
L!fe Happens,930000,30905
Super Capers,2000000,30955
Fabled,400000,31425
Good,16000000,31631
Pontypool,1500000,31916
Kiss the Bride,500000,32033
The Calling,160000,32092
Song One,6000000,32544
Black November,7500000,32572
Speak No Evil,150000,32927
Spoken Word,4500000,32961
Sisters in Law,300000,33312
I Love You … Don't Touch Me!,68000,33598
The Velocity of Gary,4000000,34145
Underdogs,2500000,35017
Growing up Smith,2000000,35312
Not Cool,800000,35688
Trudno byt bogom,7000000,35919
"Surfer, Dude",6000000,36497
Polina danser sa vie,4000000,36630
This Thing of Ours,2000000,37227
Chicken Tikka Masala,2160000,37865
3 Backyards,300000,39475
Just Looking,3000000,39852
The Opposite Sex,3300000,40262
Down for Life,3800000,41914
Siakh lokhamim: ha'slilim ha'gnouzim,450000,42503
Water & Power,600000,42557
The Watermelon Woman,300000,42735
Jackpot,400000,44452
Defendor,3750000,44462
La mariée était en noir ,747000,44566
Side Effects,200000,44701
Lost River,2000000,45431
An Alan Smithee Film: Burn Hollywood Burn,10000000,45779
Cah,7000000,46488
Interview with the Assassin,750000,47329
Open Road,3000000,47469
Madadayo,11900000,48856
The Chumscrubber,6800000,49526
The Motel,250000,51540
The Perfect Host,1000000,51587
Fong juk,4500000,51957
Trucker,1500000,52429
Good Dick,200000,52443
Aloft,8000000,53086
Finishing the Game,500000,53201
Johnny Suede,500000,55000
Incident at Loch Ness,1400000,56073
Beyond the Black Rainbow,1100000,56491
Harvard Man,5500000,56653
The Young Unknowns,800000,58163
Wal-Mart: The High Cost of Low Price,1500000,58692
Down & Out with the Dolls,1200000,58936
Cheap Thrills,100000,59424
Il conformista,750000,59656
Frontera,2300000,59696
Winnie Mandela,15000000,61847
The Canyons,250000,62375
The Mudge Boy,800000,62544
Creative Control,1000000,63014
Nothing,4000000,63180
Stitches,2000000,63555
Aberdeen,6500000,64148
Among Giants,4000000,64359
Stuck,5000000,67505
Happy Valley,250000,67665
Stiff Upper Lips,5700000,69582
Eulogy,10000000,70527
Pierrot le fou,300000,70807
Timber Falls,2600000,71248
Cavite,7000,71644
Eye of the Dolphin,2500000,72260
Pump,2000000,72277
24 7: Twenty Four Seven,2000000,72544
Foodfight!,45000000,73706
An Everlasting Piece,4000000,75078
Silent Trigger,15000000,76382
Eureka,2000000,76654
Scott Walker: 30 Century Man,500000,77121
Banshee Chapter,950000,78122
Fort McCoy,3000000,78948
Nomad,40000000,79123
Extreme Movie,1200000,81338
Dracula: Pages from a Virgin's Diary,1100000,81371
Diamonds,11900000,81897
Funny Ha Ha,30000,82698
They Came Together,3000000,82780
Fascination,5000000,83356
51 Birch Street,350000,84689
Broken Vessels,600000,85343
Leaves of Grass,9000000,85527
First Morning,300000,87264
5 Days of War,12000000,87793
Home Movies,400000,89134
The Hebrew Hammer,1300000,90213
Adam Resurrected,10000000,90909
Red Sky,25000000,91116
Mean Machine,4500000,92723
Cure,10000,94596
Vamps,16000000,94812
Sommersturm,3000000,95204
Hardflip,1000000,96734
Decoys,5000000,96760
D.E.B.S.,3500000,96793
Desert Blue,5000000,99147
8: The Mormon Proposition,2500000,100280
Beyond the Brick: A LEGO Brickumentary,1000000,101531
George A. Romero's Survival of the Dead,4200000,101740
The Gambler,3000000,101773
Saint John of Las Vegas,2000000,102645
The House of the Devil,1000000,102812
Mutual Appreciation,30000,103509
Criminal Activities,7000000,103962
Freeze Frame,2000000,105377
The Good Guy,10000000,106466
Sleep Dealer,2500000,108907
Elsa & Fred,10000000,109144
Blood Done Sign My Name,10000000,109383
The Lost Skeleton of Cadavra,100000,110536
Woman Chaser,150000,110719
Road Hard,1500000,113169
Lisa Picard is Famous,1000000,113433
Winter Passing,3500000,113783
Breaking Upwards,15000,115592
The Grand,3000000,115879
The Greatest,6000000,117796
Gentlemen Broncos,9500000,118482
Valley of the Hearts Delight,2500000,118666
Come Early Morning,6000000,119452
Stolen Summer,1500000,119841
Trust,4000000,120016
Tycoon,5000000,121016
Hum to Mohabbt Karega,2000000,121807
Antiviral,3100000,123407
There Goes My Baby,10500000,125169
Police Academy 7: Mission to Moscow,10000000,126247
E tu vivrai nel terrore - L'aldilà,400000,126387
The Wendell Baker Story,8000000,127188
Yi ge ren de wu lin,25000000,129115
Dil Jo Bhi Kahey...,1600000,129319
An Inconvenient Sequel,1000000,130874
The Eclipse,3000000,133411
Six-String Samurai,2000000,134624
Accidental Love,26000000,135436
Clean,10000,138711
The Salon,1500000,139084
Chacun sa nuit,1900000,139317
Baghead,200000,140016
Bilal,30000000,141661
No Looking Back,5000000,143273
Space Pirate Captain Harlock,30000000,143490
10th & Wolf,8000000,143782
Bubble,1600000,145382
The Land Girls,8000000,146083
Love Ranch,25000000,146149
Mondays in the Sun,4000000,146402
The Last Five Years,2000000,147299
The Red Riding Trilogy: 1974,9000000,148826
Kicks,10000000,150191
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,500000,152449
The Divide,3000000,156362
The Horse Boy,160000,156612
Carlos,18000000,157002
Strangerland,10000000,161097
Hybrid,200000,162605
Holly,3000000,163069
The Last Godfather,13400000,164247
Modern Times,1500000,165049
United Passions,30000000,168832
The Fits,170000,169242
Escape from Tomorrow,650000,171962
Forty Shades of Blue,1500000,172569
Freakonomics,2900000,172867
My Name is Bruce,1500000,173066
"Cinco de Mayo, La Batalla",10000000,173472
Mercy Streets,600000,173599
Barbecue,10000000,173613
Fuel,2500000,174255
The Business of Fancy Dancing,200000,174682
All You Need Is Love,300000,177507
Sugar Town,250000,178095
Breakfast of Champions,12000000,178287
My Date With Drew,1100,181041
The Flower of Evil,6000000,181798
Pourquoi j'ai pas mangé mon père,42000000,182156
Go For It!,2450000,182358
The Masked Saint,3500000,182695
All or Nothing,9000000,184255
Amigo,1500000,184705
The Big Tease,4000000,185577
November,250000,191862
I Want Someone To Eat Cheese With,1500000,194568
The Terrorist,25000,195043
The Puffy Chair,15000,195254
The Heart of Me,7000000,196067
Dragon Nest Warriors' Dawn,40000000,196090
Fateless,12000000,196857
Repo! The Genetic Opera,8500000,198883
Cama adentro,800000,200433
I Married a Strange Person,250000,203134
Betty Fisher et autres histoires,7500000,206400
La fille du RER,9000000,208163
Def-Con 4,1300000,210904
Call+Response,200000,212989
Love Lisa,1000000,213137
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000,215559
Critical Care,12000000,220175
Steal (Canadian Release),15000000,220944
Ira and Abby,3500000,221096
Tim and Eric's Billion Dollar Movie,3000000,223652
"Remember Me, My Love",6700000,223878
High Heels and Low Lifes,10000000,226792
Guiana 1838,1000000,227241
Undead,750000,229250
One Man's Hero,18000000,229311
Brighton Rock,11000000,229653
Middle of Nowhere,200000,236806
Housebound,1500000,236863
On the Outs,250000,237816
Driving Lessons,4700000,239962
Hatchet,1500000,240396
Following,6000,240495
Edmond,10000000,241719
Two Night Stand,1600000,242443
Braindead,3000000,242623
The Legend of God's Gun,30000,243768
La femme de chambre du Titanic,10000000,244465
Sex with Strangers,1100000,247740
Love's Abiding Joy,3000000,252726
Civil Brand,500000,254293
Q,1200000,255000
The Last Days on Mars,10600000,261364
The Lucky Ones,14000000,266967
Morvern Callar,6000000,267194
Psycho Beach Party,4000000,267972
Shichinin no samurai,500000,271736
Amen,14000000,274299
Smiling Fish and Goat on Fire,40000,277233
The Tempest,20000000,277943
Life During Wartime,4500000,281447
"Lovely, Still",5000000,282687
Shotgun Stories,250000,284174
Stranded,1900000,285593
Penitentiary,100000,287000
Above and Beyond,1300000,288751
Antarctica: A Year on Ice,1000000,288757
Imaginary Heroes,10000000,290875
3,7200000,295492
Freeway,3000000,295493
World's Greatest Dad,10000000,295750
Shooting Fish,4000000,302204
Taxi to the Dark Side,1000000,304472
Stonewall,2000000,304602
Rapa Nui,20000000,305070
Chairman of the Board,7000000,306715
Never Again,500000,308793
My Dog Tulip,350000,310891
San qiang pai an jing qi,12000000,310946
Cargo,4200000,313230
Elling,2100000,313436
Jungle Shuffle,10000000,314073
The Other Dream Team,500000,314444
The Informers,18000000,315000
The Yellow Handkerchief,15500000,318623
The Last Waltz,35000,321952
Desert Dancer,4000000,324218
City of Ghosts,17500000,325491
Neal n' Nikki,1300000,329621
Creature,3000000,331000
Standard Operating Procedure,5000000,332120
The Good Heart,3800000,340930
George Washington,42000,342722
Malevolence,200000,346106
Due occhi diabolici,9000000,349618
Albino Alligator,5000000,353480
Buffalo Soldiers,15000000,353743
Prison,4000000,354704
The Invitation,1000000,354836
Welcome to the Rileys,10000000,355919
The Young and Prodigious T.S. Spivet,33000000,357687
Southland Tales,17000000,364607
Hurricane Streets,500000,367582
Deterrence,800000,371647
MOOZ-lum,1500000,372239
Joe,4000000,373375
Let's Talk About Sex,300000,373615
The Game of Their Lives,20000000,375474
Before We Go,3000000,379161
The Quiet,900000,381420
Hesher,7000000,382946
Adoration,4000000,384244
The Last Sin Eater,2200000,388390
The First Great Train Robbery,6000000,391942
The Loss of Sexual Innocence,4000000,399793
Old Joy,300000,399908
The Signal,50000,406299
Drinking Buddies,500000,407100
Bottle Rocket,5000000,407488
The 5th Quarter,6000000,408159
The Boondock Saints,7000000,411874
The Brass Teapot,900000,413733
Pink Flamingos,12000,413802
Snow Angels,1500000,414404
The Death and Life of Bobby Z,8000000,414617
Dead Man's Shoes,1125000,414736
Killing Zoe,1500000,418953
Out of the Dark,1600000,419428
Foolproof,5800000,421021
Tiny Furniture,50000,424149
Luminarias,1000000,428535
Backmask,25000,428923
Sound of My Voice,135000,429448
I Want Your Money,400000,433588
Blue Ruin,420000,435168
Short Cut to Nirvana: Kumbh Mela,200000,439651
Grabbers,5300000,440821
A Lonely Place to Die,4000000,442550
The Hammer,850000,442638
Dear Wendy,8000000,446438
Sunday,450000,450349
Brother,12000000,450594
The Legend of Suriyothai,9000000,454255
Fido,8000000,456814
Gunless,9900000,458054
Brooklyn Rules,8000000,458232
Kill List,800000,462206
Wah-Wah,7000000,463039
The Last Shot,40000000,463730
House of D,2000000,466106
Wristcutters: A Love Story,1000000,473769
Artie Lange's Beer League,2800000,475000
Blue Car,1000000,475367
Brotherly Love,1900000,478595
Bone Tomahawk,2000000,481525
The Extra Man,7000000,492108
L'incomparable mademoiselle C.,3400000,493905
Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000,497195
Idiocracy,2400000,500296
The Act of Killing,1000000,501289
The Other End of the Line,2500000,507446
In The Land of Blood and Honey,13000000,509193
The Wild Bunch,6000000,509424
Unsullied,1500000,510957
Madison,15500000,517262
The Singing Detective,8000000,524747
The Reluctant Fundamentalist,15000000,528731
Things to Do in Denver when You're Dead,15000000,529766
Standing Ovation,5600000,531806
Clockwatchers,2000000,539961
Dream With The Fishes,1000000,542909
Manderlay,14200000,543306
23 Blast,1000000,549185
The Lost Medallion: The Adventures of Billy Stone,2500000,549632
Heli,1000000,552614
Plastic,10000000,552641
Masked and Anonymous,7500000,555335
Ondine,12000000,557545
Poolhall Junkies,4000000,563711
Los Cronocrímenes,2600000,564474
Freedom,14500000,565801
Rudderless,5000000,567219
"Dancer, Texas Pop. 81",2300000,574838
The Wicked Lady,8000000,589308
Prefontaine,8000000,590817
Super,2500000,593933
Blue Like Jazz,1200000,595018
Maggie,4500000,597989
Swept Away,10000000,598645
Lonesome Jim,500000,602789
20 Dates,66000,602920
Bitter Harvest,21000000,606162
The Basket,1300000,609042
London to Brighton,825000,610776
Trekkies,375000,617172
Company Man,12000000,622273
Margaret,14000000,623292
Texas Rangers,38000000,623374
Orgazmo,1000000,627287
I Come with the Rain,18000000,627422
The Brown Bunny,10000000,630427
Ride With the Devil,35000000,630779
May,1750000,634803
Journey from the Fall,1300000,635305
The Virginity Hit,2000000,636706
The Oh in Ohio,5000000,648183
Heroes,400000,655538
Yes,1700000,661221
The Princess and the Cobbler,24000000,669276
Dayereh,10000,673780
The Salton Sea,18000000,676698
Stake Land,4000000,679482
Rubber,500000,680914
Feast,3200000,690872
Inside Deep Throat,2000000,691880
All the Real Girls,1000000,703020
Karakter,4500000,713413
Gerry,7000000,719699
Free Style,10000000,721108
Motherhood,10000000,723388
Valhalla Rising,5700000,731613
Out of the Blue,4600000,731767
The Square,1900000,740932
Love and Other Catastrophes,250000,743216
Trees Lounge,1300000,749741
Sherrybaby,2000000,759504
Praia do Futuro,4000000,760678
Beastmaster 2: Through the Portal of Time,6000000,773490
Survivor,20000000,774905
Without Limits,25000000,780326
POM Wonderful Presents: The Greatest Movie Ever Sold,1800000,783733
Trespass,35000000,786532
The Ten,5250000,786677
Molière,21600000,791154
Manglehorn,4000000,797439
The Barbarians,4000000,800000
Charly,950000,814666
Donkey Punch,750000,814801
Compliance,270000,830700
Hobo with a Shotgun,3000000,834953
Illuminata,10000000,836641
The Battle of Shaker Heights,1000000,839145
Primer,7000,841926
Higher Ground,1800000,842693
Alone with Her,1000000,844377
Atlas Shrugged: Who Is John Galt?,5000000,851690
Brigham City,1000000,852206
I Origins,1000000,852399
Redacted,5000000,861325
Miss Julie,5500000,863895
Latter Days,850000,865708
All Good Things,20000000,873617
Venom,25000000,881745
Pandora's Box,800000,881950
The Blood of Heroes,7700000,882290
Princess Kaiulani,9000000,883887
La otra conquista,3500000,886410
The Blue Bird,1200000,887000
The Caveman's Valentine,13500000,892506
Party Monster,5000000,894030
à L'Intérieur,3000000,895932
Mata Hari,558000,900000
The Brothers Solomon,10000000,900926
The Ballad of Gregorio Cortez,1305000,909000
Dungeons & Dragons: Wrath of the Dragon God,15000000,909822
Delgo,40000000,915840
Jimi: All is By My Side,5000000,927074
Aimée & Jaguar,6800000,927107
Wild Card,30000000,929157
Circumstance,900000,958978
Savage Grace,4600000,968805
Down in the Valley,8000000,973443
MirrorMask,4000000,973613
Another Happy Day,4000000,978527
Duma,12000000,994790
Fifty Dead Men Walking,10000000,997921
March or Die,7000000,1000000
Caravans,14000000,1000000
Ruby in Paradise,800000,1001437
The Girlfriend Experience,1300000,1005840
Owning Mahowny,10000000,1011054
The Innkeepers,750000,1011535
Chain Letter,3000000,1022453
Spun,4500000,1022649
Twin Falls Idaho,500000,1027228
Urbania,225000,1032075
A Home at the End of the World,6500000,1033810
Coriolanus,10000000,1049641
Light Sleeper,5000000,1050861
The Ten Commandments,10000000,1051907
Wonderland,5500000,1060512
The Oogieloves in the BIG Balloon Adventure,20000000,1065907
September Dawn,10100000,1066555
Undiscovered,9000000,1069318
50 to 1,10000000,1069454
Ain't Them Bodies Saints,5000000,1075009
Dinner Rush,2000000,1075504
USS Indianapolis: Men of Courage,40000000,1079040
Loin des hommes,7700000,1080428
Blood and Wine,26000000,1083350
Slam,1000000,1087521
A Little Bit of Heaven,12500000,1100287
Burn,225000,1109276
The R.M.,500000,1111615
The Ballad of Jack and Rose,1500000,1126258
Sholem Aleichem: Laughing in the Darkness,500000,1131261
In the Shadow of the Moon,2000000,1134358
L.I.E.,700000,1140965
Lolita,55000000,1147784
The Son of No One,15000000,1148578
Excessive Force,13000000,1152117
Get Real,2000000,1152411
Palo Alto,1000000,1156309
Chuck&Buck,250000,1157672
The Face of Love,4000000,1158877
Trois,200000,1161843
Tarnation,400000,1162014
King of California,10000000,1165102
The Overnight,200000,1165996
The Burning Plain,20000000,1167092
Groove,500000,1167524
Casa de Areia,3750000,1178175
Fiza,1000000,1179462
Kill the Irishman,12000000,1188194
Me and Orson Welles,25000000,1190003
Phantom,18000000,1199510
Anna,4357373,1200000
Darling Companion,12000000,1200346
Blackthorn,4500000,1217307
Slacker,23000,1227508
You Got Served: Beat The World,10000000,1230542
Slow Burn,15500000,1237615
The Future,1000000,1239174
Losin' It,7000000,1246141
Outlander,50000000,1250617
The Singles Ward,500000,1250798
Holy Girl,1400000,1261792
Twixt,7000000,1268346
Saving Face,2500000,1269705
I Spit on Your Grave,1750000,1278471
The Business of Strangers,6000000,1290920
Conversations with Other Women,450000,1297745
"War, Inc.",10000000,1299855
8 Million Ways to Die,18000000,1305114
The Good German,32000000,1308696
Saints and Soldiers,780000,1310470
Le hussard sur le toit,35000000,1320043
Travellers and Magicians,1800000,1322161
Damsels in Distress,3000000,1324299
Nikté,2400000,1333891
Mean Creek,500000,1348750
The City of Your Final Destination,8300000,1353296
Kansas City,19000000,1353824
The Secrets of Jonathan Sperry,1000000,1355079
The Offspring,1100000,1355728
Julia,6000000,1365108
American Desi,250000,1366235
Dogtooth,323000,1373407
"Gandhi, My Father",5000000,1375194
The Claim,13000000,1375635
Bully,2100000,1381824
"For a Good Time, Call",850000,1386088
ГЕРОЙ,7000000,1391410
Surveillance,3500000,1396395
Metropolis,15000000,1405032
The Funeral,12500000,1412799
Where the Truth Lies,25000000,1415656
Wendy and Lucy,300000,1416046
Polytechnique,6000000,1418304
Thr3e,2400000,1420418
Panic,1000000,1425707
I Hope They Serve Beer in Hell,7000000,1429453
No End In Sight,2000000,1433319
Northfork,1900000,1445140
Enter the Void,16000000,1467278
Queen of the Desert,36000000,1480089
Bubba Ho-Tep,1000000,1492895
Lion of the Desert,35000000,1500000
Salvador,4500000,1500000
Time Changer,825000,1500711
The Cottage,5000000,1504960
Trade,12000000,1513388
A Midnight Clear,5000000,1526697
Blonde Ambition,10000000,1537479
The Lords of Salem,1500000,1541131
The Statement,27000000,1545064
Chocolate: Deep Dark Secrets,1000000,1549000
Stan Helsing: A Parody,14000000,1553556
Nicholas Nickleby,10000000,1562800
Weekend,190000,1577585
Midnight Meat Train,15000000,1590246
Triangle,12000000,1595168
A Hard Day's Night,560000,1597233
Dogtown and Z-Boys,400000,1600566
The Blue Butterfly,10400000,1610194
Oscar and Lucinda,12500000,1612957
Walking and Talking,1000000,1615787
Session 9,1500000,1619602
Home,12000000,1620056
Bacheha-Ye aseman,180000,1628579
Flammen og Citronen,9000000,1635241
Gun Shy,10000000,1638202
Spider,10000000,1641788
It's a Wonderful Afterlife,10000000,1642939
Marci X,20000000,1646664
Festen,1300000,1647780
"The Book of Mormon Movie, Volume 1: The Journey",2000000,1660865
Factory Girl,7000000,1661464
Subway,2000000,1663296
Deadfall,6000000,1673635
Steel,16000000,1686429
Jesus' Son,2500000,1687548
Ararat,15500000,1693000
Saint Ralph,5200000,1695126
The Bridge of San Luis Rey,24000000,1696765
Lady in White,4700000,1705139
"Men, Women and Children",16000000,1705908
Freeheld,7000000,1732228
"Che, Part 1: The Argentine",29000000,1733532
Simon,1300000,1738663
The Messenger,6500000,1744952
Savva. Serdtse voyna,30000000,1769316
Murderball,350000,1772979
The Dangerous Lives of Altar Boys,12000000,1779284
Tumbleweeds,312000,1788168
Code 46,7500000,1788324
Eye See You,55000000,1807990
Tusk,3000000,1821983
Tu Xia Chuan Qi,12000000,1828400
The Believer,1500000,1840248
Zulu,16000000,1844228
Who Killed the Electric Car?,1000000,1849392
Dom Hemingway,7000000,1857458
Meek's Cutoff,2000000,1869928
A Better Life,10000000,1884251
The Mighty Macs,7000000,1891936
Les herbes folles,14000000,1903952
Thumbsucker,4000000,1919197
The Christmas Candle,7000000,1933829
La chambre bleue,1400000,1945420
The Clan of the Cave Bear,15000000,1953732
Cecil B. Demented,10000000,1953882
Crazy in Alabama,15000000,1954202
All the Boys Love Mandy Lane,750000,1960521
Felicia's Journey,15000000,1970268
Osama,500000,1971479
Escobar: Paradise Lost,17000000,1973945
Red State,4000000,1983596
Shortbus,2000000,1985292
The Art of Getting By,4000000,1989035
She Done Him Wrong,200000,2000000
Wilson,5200000,2000000
The Wrong Man,1200000,2000000
Can't Stop the Music,20000000,2000000
Playing for Keeps,35000000,2000000
Return to the Blue Lagoon,11000000,2000000
Greater,9000000,2000093
Sur Le Seuil,2500000,2013052
The Broken Hearts Club: A Romantic Comedy,1000000,2022442
The Work and the Glory: American Zion,6500000,2025032
El Mariachi,7000,2041928
Roadside Romeo,2000000,2046090
Beyond the Mat,500000,2047570
Z Storm,7000000,2053330
Ravenous,12000000,2062406
Ayurveda: Art of Being,300000,2066892
Strangers with Candy,2000000,2077844
Zero Effect,5000000,2080693
I’m Not Ashamed,1500000,2082980
Another Earth,175000,2102779
The Pursuit of D.B. Cooper,12000000,2104164
Faithful,13000000,2104439
Mallrats,6100000,2108367
Roar,17000000,2110050
The Nutcracker,19000000,2119994
Videodrome,5952000,2120439
Misconduct,11000000,2124005
Now is Good,500000,2141436
Grave Encounters,2000000,2151887
Shadow Conspiracy,45000000,2154540
A Dog of Flanders,7000000,2165637
Dod sno,800000,2194020
The Molly Maguires,11000000,2200000
Smilla's Sense of Snow,35000000,2221994
It's All Gone Pete Tong,2000000,2226603
My All-American,20000000,2246000
DysFunkTional Family,3000000,2255000
Clay Pigeons,8000000,2256606
Casino Jack,12500000,2272186
Showdown in Little Tokyo,8000000,2275557
The Diary of a Teenage Girl,2000000,2279959
42nd Street,439000,2281000
FUR: An Imaginary Portrait of Diane Arbus,16800000,2281089
The Yards,20000000,2282710
Repo Man,1500000,2300000
Hav Plenty,650000,2301777
Shanghai Surprise,17000000,2315000
Two Girls and a Guy,1000000,2315026
Last Orders,12000000,2326407
Gabriela,50000,2335352
Teeth,2000000,2350641
Jem and the Holograms,5000000,2368937
Bamboozled,10000000,2373937
Buffalo '66,1500000,2380606
Renaissance,18000000,2401413
Nannerl la soeur de Mozart,4500000,2404639
The Devil's Double,19100000,2406666
What Just Happened,27000000,2412123
Hamlet,2000000,2419669
The Grace Card,200000,2430735
Four Lions,3750000,2436111
Jefferson in Paris,14000000,2461628
And When Did You Last See Your Father?,8000000,2476491
The Incredibly True Adventure of Two Girls in Love,250000,2477155
After.Life,4500000,2481925
Unforgettable,18000000,2483790
It Happened One Night,325000,2500000
Niagara,1250000,2500000
Grace Unplugged,1700000,2507159
But I'm a Cheerleader,1200000,2509344
Novocaine,6000000,2522928
When The Cat's Away,300000,2525984
Bucky Larson: Born to Be a Star,10000000,2529395
Love and Death on Long Island,4030000,2542264
Trust the Man,9000000,2548378
The Gatekeepers,1500000,2592308
N-Secure,1600000,2595644
Limbo,8300000,2598224
Infamous,13000000,2613717
Shalako,1455000,2620000
Mississippi Mermaid,1600000,2627795
God's Army,300000,2652515
Redbelt,7000000,2667084
No Man's Land,1000000,2684207
Bobby Jones: Stroke of Genius,17000000,2694071
Bronson,230000,2703762
Auto Focus,7000000,2703821
Straight out of Brooklyn,450000,2712293
Chéri,23000000,2715657
Goodbye Bafana,30000000,2717302
Ajami,1000000,2721096
Wuthering Heights,8000000,2721534
Blood Simple,1500000,2730877
Restless,8000000,2772511
Captive,2000000,2791973
Love Stinks,4000000,2793776
The Perez Family,11000000,2794056
Quinceanera,400000,2797199
The White Countess,16000000,2814566
Everything Must Go,5000000,2821010
Adam,3200000,2828590
Reservoir Dogs,1200000,2832029
eXistenZ,20700000,2840417
Othello,11000000,2844379
Home Run,1200000,2859955
Jindabyne,10800000,2862544
In the Company of Men,25000,2883661
"Happy, Texas",1700000,2891228
Find Me Guilty,13000000,2898225
Cradle Will Rock,32000000,2899970
Raising Victor Vargas,800000,2900578
Waiting for Guffman,4000000,2922988
Blood Ties,26000000,2923959
Metropolitan,430000,2938000
Filly Brown,1250000,2940411
